vin,make,model,year,body
WBA3N3C50EK2XXXXX,BMW,4 Series,2014,
WBA4F11020D9XXXXX,BMW,4 Series,,
WBA4F11020D9XXXXX,BMW,4,,liftback
WBA3N3C50EK2XXXXX,BMW,4 Series,2014,
WAUZZZ8T39A0XXXXX,Audi,A5,,
WAUZZZ8T39A0XXXXX,Audi,A5,,coupe
WBA3N3C50EK2XXXXX,BMW,428I (USA),,coupe
WBA2C110807AXXXXX,BMW,2 Series,,multi-purpose vehicle
WAUZZZ4M4HD0XXXXX,Audi,Q7,,SUV
WBA5J11050D0XXXXX,BMW,5 Series,,estate
WAUZZZ4M4HD0XXXXX,Audi,,,SUV
WBY2Z21040V3XXXXX,BMW,i8,2016,
WBAJJ11040EFXXXXX,BMW,X Series,,SUV
WBY2Z21040V3XXXXX,BMW,i,,coupe
WAUZZZ4G0BN0XXXXX,Audi,A7,,
WAUZZZ4G0BN0XXXXX,Audi,A7,,
WAUZZZ4G0BN0XXXXX,Audi,A7,,liftback
WBAFW11000DUXXXXX,BMW,5 Series,,
WBA7C21090G8XXXXX,BMW,7 Series,,sedan
WBAFW11000DUXXXXX,BMW,5 Series,,sedan
WAUZZZ8R5FA0XXXXX,Audi,Q5,,
WAUZZZ8R5FA0XXXXX,Audi,Q5,,
WAUZZZ8R5FA0XXXXX,Audi,Q5,,
WBAPP120X0A9XXXXX,BMW,3 Series,,
WAUZZZ8P0CA0XXXXX,Audi,A3,,
WAUZZZ8P0CA0XXXXX,Audi,A3,,hatchback
WAUZZZ4L77D0XXXXX,Audi,Q7,,
WAUZZZ8P0CA0XXXXX,Audi,A3,,
WBS41AZ020CJXXXXX,BMW,,,
WAUZZZ8P0CA0XXXXX,Audi,A3,,hatchback
WAUZZZ4L77D0XXXXX,Audi,Q7,,SUV
WBAFW91070DWXXXXX,BMW,5 Series,,sedan
WBA5C31020D0XXXXX,BMW,5 Series,,sedan
WAUZZZ4H1DN0XXXXX,Audi,,2013,
WBA3L32090KTXXXXX,BMW,3 Series,,estate
WBAVM1C58EVWXXXXX,BMW,X1,2014,SUV
WBAVM1C58EVWXXXXX,BMW,X Series,,SUV
WAUZZZ8DZ1A1XXXXX,Audi,A4,,
WAUZZZ8K0CA1XXXXX,Audi,A4,,
WAUZZZ8K0CA1XXXXX,Audi,A4,,
WBA8C51000K8XXXXX,BMW,3 Series,,sedan
WBA5V310X0FHXXXXX,BMW,3 Series,,sedan
WAUZZZF42GA0XXXXX,Audi,A4,,
WAUZZZ4G1GN1XXXXX,Audi,A6,,estate
WAUZZZ8VXEA1XXXXX,Audi,A3,,
WAUZZZ8VXEA1XXXXX,Audi,,,hatchback
WBAJM71090G6XXXXX,BMW,5 Series,,
WBA3D51060F7XXXXX,BMW,3 Series,,sedan
WAUZZZ4H0CN0XXXXX,Audi,A8,,
WAUZZZ4H0CN0XXXXX,Audi,A8,,sedan
WAUZZZ4G3JN0XXXXX,Audi,A6,2018,
WAUZZZ4H0CN0XXXXX,Audi,A8,,sedan
WAUZZZ4G3JN0XXXXX,Audi,A6,,
